Country Code,Country,Series Name,Year,Inflation Rate
FIN,Finland,Headline Consumer Price Inflation,1970,2.73
FJI,Fiji,Headline Consumer Price Inflation,1970,4.12
FRA,France,Headline Consumer Price Inflation,1970,5.85
FSM,"Micronesia, Fed. Sts.",Headline Consumer Price Inflation,1970,
GAB,Gabon,Headline Consumer Price Inflation,1970,3.81
GBR,United Kingdom,Headline Consumer Price Inflation,1970,6.37
GEO,Georgia,Headline Consumer Price Inflation,1970,
GHA,Ghana,Headline Consumer Price Inflation,1970,3.03
GIN,Guinea,Headline Consumer Price Inflation,1970,4.33
GMB,"Gambia, The",Headline Consumer Price Inflation,1970,-1.99
GNB,Guinea-Bissau,Headline Consumer Price Inflation,1970,4.4
GNQ,Equatorial Guinea,Headline Consumer Price Inflation,1970,1.68
GRC,Greece,Headline Consumer Price Inflation,1970,3.19
GRD,Grenada,Headline Consumer Price Inflation,1970,18.46
GTM,Guatemala,Headline Consumer Price Inflation,1970,2.34
GUY,Guyana,Headline Consumer Price Inflation,1970,3.37
HKG,"Hong Kong SAR, China",Headline Consumer Price Inflation,1970,
HND,Honduras,Headline Consumer Price Inflation,1970,2.88
HRV,Croatia,Headline Consumer Price Inflation,1970,
HTI,Haiti,Headline Consumer Price Inflation,1970,1.37
HUN,Hungary,Headline Consumer Price Inflation,1970,4.25
IDN,Indonesia,Headline Consumer Price Inflation,1970,12.35
IND,India,Headline Consumer Price Inflation,1970,5.1
IRL,Ireland,Headline Consumer Price Inflation,1970,8.21
IRN,"Iran, Islamic Rep.",Headline Consumer Price Inflation,1970,1.67
IRQ,Iraq,Headline Consumer Price Inflation,1970,4.36
ISL,Iceland,Headline Consumer Price Inflation,1970,13.09
ISR,Israel,Headline Consumer Price Inflation,1970,6.11
ITA,Italy,Headline Consumer Price Inflation,1970,4.81
JAM,Jamaica,Headline Consumer Price Inflation,1970,14.73
JOR,Jordan,Headline Consumer Price Inflation,1970,6.8
JPN,Japan,Headline Consumer Price Inflation,1970,7.67
KAZ,Kazakhstan,Headline Consumer Price Inflation,1970,
KEN,Kenya,Headline Consumer Price Inflation,1970,2.19
KGZ,Kyrgyz Republic,Headline Consumer Price Inflation,1970,
KHM,Cambodia,Headline Consumer Price Inflation,1970,12.1
KIR,Kiribati,Headline Consumer Price Inflation,1970,
KNA,St. Kitts and Nevis,Headline Consumer Price Inflation,1970,15.8
KOR,"Korea, Rep.",Headline Consumer Price Inflation,1970,16.08
KWT,Kuwait,Headline Consumer Price Inflation,1970,8.27
LAO,Lao PDR,Headline Consumer Price Inflation,1970,0.32
LBN,Lebanon,Headline Consumer Price Inflation,1970,0.01
LBR,Liberia,Headline Consumer Price Inflation,1970,1.52
LBY,Libya,Headline Consumer Price Inflation,1970,-5.3
LCA,St. Lucia,Headline Consumer Price Inflation,1970,13.4
LKA,Sri Lanka,Headline Consumer Price Inflation,1970,5.87
LSO,Lesotho,Headline Consumer Price Inflation,1970,13.4
LTU,Lithuania,Headline Consumer Price Inflation,1970,
LUX,Luxembourg,Headline Consumer Price Inflation,1970,4.64
LVA,Latvia,Headline Consumer Price Inflation,1970,
MAC,"Macao SAR, China",Headline Consumer Price Inflation,1970,
MAR,Morocco,Headline Consumer Price Inflation,1970,1.28
MDA,Moldova,Headline Consumer Price Inflation,1970,
MDG,Madagascar,Headline Consumer Price Inflation,1970,2.88
MDV,Maldives,Headline Consumer Price Inflation,1970,4.32
MEX,Mexico,Headline Consumer Price Inflation,1970,5.21
MHL,Marshall Islands,Headline Consumer Price Inflation,1970,
MKD,"Macedonia, FYR",Headline Consumer Price Inflation,1970,
MLI,Mali,Headline Consumer Price Inflation,1970,14.32
MLT,Malta,Headline Consumer Price Inflation,1970,3.72
MMR,Myanmar,Headline Consumer Price Inflation,1970,-4.01
MNE,Montenegro,Headline Consumer Price Inflation,1970,
MNG,Mongolia,Headline Consumer Price Inflation,1970,
MOZ,Mozambique,Headline Consumer Price Inflation,1970,4.7
MRT,Mauritania,Headline Consumer Price Inflation,1970,10.31
MUS,Mauritius,Headline Consumer Price Inflation,1970,1.54
MWI,Malawi,Headline Consumer Price Inflation,1970,9.53
MYS,Malaysia,Headline Consumer Price Inflation,1970,1.84
NAM,Namibia,Headline Consumer Price Inflation,1970,5.59
NER,Niger,Headline Consumer Price Inflation,1970,1.12
NGA,Nigeria,Headline Consumer Price Inflation,1970,13.76
NIC,Nicaragua,Headline Consumer Price Inflation,1970,26.67
NLD,Netherlands,Headline Consumer Price Inflation,1970,3.68
NOR,Norway,Headline Consumer Price Inflation,1970,10.57
NPL,Nepal,Headline Consumer Price Inflation,1970,15.24
NRU,Nauru,Headline Consumer Price Inflation,1970,
NZL,New Zealand,Headline Consumer Price Inflation,1970,6.71
OMN,Oman,Headline Consumer Price Inflation,1970,6.44
PAK,Pakistan,Headline Consumer Price Inflation,1970,5.35
PAN,Panama,Headline Consumer Price Inflation,1970,3.08
PER,Peru,Headline Consumer Price Inflation,1970,5.03
PHL,Philippines,Headline Consumer Price Inflation,1970,14.38
PLW,Palau,Headline Consumer Price Inflation,1970,
PNG,Papua New Guinea,Headline Consumer Price Inflation,1970,0.65
POL,Poland,Headline Consumer Price Inflation,1970,5.66
PRI,Puerto Rico,Headline Consumer Price Inflation,1970,
PRT,Portugal,Headline Consumer Price Inflation,1970,4.53
PRY,Paraguay,Headline Consumer Price Inflation,1970,-0.86
PSE,West Bank and Gaza,Headline Consumer Price Inflation,1970,
QAT,Qatar,Headline Consumer Price Inflation,1970,20.03
ROU,Romania,Headline Consumer Price Inflation,1970,0.4
RUS,Russian Federation,Headline Consumer Price Inflation,1970,0.1
RWA,Rwanda,Headline Consumer Price Inflation,1970,0.51
SAU,Saudi Arabia,Headline Consumer Price Inflation,1970,0.18
SDN,Sudan,Headline Consumer Price Inflation,1970,4.03
SEN,Senegal,Headline Consumer Price Inflation,1970,2.81
SGP,Singapore,Headline Consumer Price Inflation,1970,0.46
SLB,Solomon Islands,Headline Consumer Price Inflation,1970,
SLE,Sierra Leone,Headline Consumer Price Inflation,1970,6.4
SLV,El Salvador,Headline Consumer Price Inflation,1970,2.82
SMR,San Marino,Headline Consumer Price Inflation,1970,
SRB,Serbia,Headline Consumer Price Inflation,1970,
SSD,South Sudan,Headline Consumer Price Inflation,1970,
STP,São Tomé and Principe,Headline Consumer Price Inflation,1970,4.32
SUR,Suriname,Headline Consumer Price Inflation,1970,2.59
SVK,Slovak Republic,Headline Consumer Price Inflation,1970,
SVN,Slovenia,Headline Consumer Price Inflation,1970,
SWE,Sweden,Headline Consumer Price Inflation,1970,7.02
SWZ,Swaziland,Headline Consumer Price Inflation,1970,1.85
SYC,Seychelles,Headline Consumer Price Inflation,1970,14.89
SYR,Syrian Arab Republic,Headline Consumer Price Inflation,1970,4.64
TCD,Chad,Headline Consumer Price Inflation,1970,8.53
TGO,Togo,Headline Consumer Price Inflation,1970,4.48
THA,Thailand,Headline Consumer Price Inflation,1970,0.8
TJK,Tajikistan,Headline Consumer Price Inflation,1970,
TKM,Turkmenistan,Headline Consumer Price Inflation,1970,
TON,Tonga,Headline Consumer Price Inflation,1970,-1.2
TTO,Trinidad and Tobago,Headline Consumer Price Inflation,1970,2.52
TUN,Tunisia,Headline Consumer Price Inflation,1970,1.1
TUR,Turkey,Headline Consumer Price Inflation,1970,6.93
TUV,Tuvalu,Headline Consumer Price Inflation,1970,
TZA,Tanzania,Headline Consumer Price Inflation,1970,3.49
UGA,Uganda,Headline Consumer Price Inflation,1970,9.8
UKR,Ukraine,Headline Consumer Price Inflation,1970,0.2
URY,Uruguay,Headline Consumer Price Inflation,1970,16.31
USA,United States,Headline Consumer Price Inflation,1970,5.9
UZB,Uzbekistan,Headline Consumer Price Inflation,1970,
VCT,St. Vincent and the Grenadines,Headline Consumer Price Inflation,1970,6.8
VEN,"Venezuela, RB",Headline Consumer Price Inflation,1970,2.49
VNM,Vietnam,Headline Consumer Price Inflation,1970,36.8
VUT,Vanuatu,Headline Consumer Price Inflation,1970,1.5
WSM,Samoa,Headline Consumer Price Inflation,1970,2.74
YEM,"Yemen, Rep.",Headline Consumer Price Inflation,1970,5.0
ZAF,South Africa,Headline Consumer Price Inflation,1970,4.06
ZMB,Zambia,Headline Consumer Price Inflation,1970,2.6
ZWE,Zimbabwe,Headline Consumer Price Inflation,1970,2.09
VGB,British Virgin Islands,Headline Consumer Price Inflation,1970,
XXK,Kosovo,Headline Consumer Price Inflation,1970,
LIE,Liechtenstein,Headline Consumer Price Inflation,1970,
MTQ,Martinique,Headline Consumer Price Inflation,1970,
MSR,Montserrat,Headline Consumer Price Inflation,1970,
NCL,New Caledonia,Headline Consumer Price Inflation,1970,
NIU,Niue,Headline Consumer Price Inflation,1970,
SHN,Saint Helena,Headline Consumer Price Inflation,1970,
TLS,Timor-Leste,Headline Consumer Price Inflation,1970,
TCA,Turks and Caicos Islands,Headline Consumer Price Inflation,1970,
ABW,Aruba,Energy Consumer Price Inflation,1970,
AFG,Afghanistan,Energy Consumer Price Inflation,1970,
ALB,Albania,Energy Consumer Price Inflation,1970,
ARE,United Arab Emirates,Energy Consumer Price Inflation,1970,
ARG,Argentina,Energy Consumer Price Inflation,1970,
ARM,Armenia,Energy Consumer Price Inflation,1970,
AUS,Australia,Energy Consumer Price Inflation,1970,-0.2
AUT,Austria,Energy Consumer Price Inflation,1970,6.8
AZE,Azerbaijan,Energy Consumer Price Inflation,1970,
BDI,Burundi,Energy Consumer Price Inflation,1970,
BEL,Belgium,Energy Consumer Price Inflation,1970,4.9
BEN,Benin,Energy Consumer Price Inflation,1970,
BFA,Burkina Faso,Energy Consumer Price Inflation,1970,0.0
BGD,Bangladesh,Energy Consumer Price Inflation,1970,61.0
BGR,Bulgaria,Energy Consumer Price Inflation,1970,
BHR,Bahrain,Energy Consumer Price Inflation,1970,
BHS,"Bahamas, The",Energy Consumer Price Inflation,1970,
BIH,Bosnia and Herzegovina,Energy Consumer Price Inflation,1970,
BLR,Belarus,Energy Consumer Price Inflation,1970,
BLZ,Belize,Energy Consumer Price Inflation,1970,
BOL,Bolivia,Energy Consumer Price Inflation,1970,0.0
BRA,Brazil,Energy Consumer Price Inflation,1970,26.0
BRB,Barbados,Energy Consumer Price Inflation,1970,
BRN,Brunei Darussalam,Energy Consumer Price Inflation,1970,
BTN,Bhutan,Energy Consumer Price Inflation,1970,
BWA,Botswana,Energy Consumer Price Inflation,1970,
CAF,Central African Republic,Energy Consumer Price Inflation,1970,4.0
CAN,Canada,Energy Consumer Price Inflation,1970,3.42
CHE,Switzerland,Energy Consumer Price Inflation,1970,10.6
CHL,Chile,Energy Consumer Price Inflation,1970,
CHN,China,Energy Consumer Price Inflation,1970,
CIV,Côte d'Ivoire,Energy Consumer Price Inflation,1970,16.4
CMR,Cameroon,Energy Consumer Price Inflation,1970,
COD,"Congo, Dem. Rep.",Energy Consumer Price Inflation,1970,8.4
COG,"Congo, Rep.",Energy Consumer Price Inflation,1970,
COL,Colombia,Energy Consumer Price Inflation,1970,
COM,Comoros,Energy Consumer Price Inflation,1970,
CPV,Cabo Verde,Energy Consumer Price Inflation,1970,-2.6
CRI,Costa Rica,Energy Consumer Price Inflation,1970,2.6
CUW,Curacao,Energy Consumer Price Inflation,1970,
CYP,Cyprus,Energy Consumer Price Inflation,1970,-1.6
CZE,Czech Republic,Energy Consumer Price Inflation,1970,
DEU,Germany,Energy Consumer Price Inflation,1970,4.3
DJI,Djibouti,Energy Consumer Price Inflation,1970,1.0
DMA,Dominica,Energy Consumer Price Inflation,1970,8.4
DNK,Denmark,Energy Consumer Price Inflation,1970,11.4
DOM,Dominican Republic,Energy Consumer Price Inflation,1970,-1.0
DZA,Algeria,Energy Consumer Price Inflation,1970,
ECU,Ecuador,Energy Consumer Price Inflation,1970,1.3
EGY,"Egypt, Arab Rep.",Energy Consumer Price Inflation,1970,-0.3
ESP,Spain,Energy Consumer Price Inflation,1970,6.2
EST,Estonia,Energy Consumer Price Inflation,1970,
ETH,Ethiopia,Energy Consumer Price Inflation,1970,1.7
FIN,Finland,Energy Consumer Price Inflation,1970,10.6
FJI,Fiji,Energy Consumer Price Inflation,1970,3.1
FRA,France,Energy Consumer Price Inflation,1970,4.9
GAB,Gabon,Energy Consumer Price Inflation,1970,2.8
GBR,United Kingdom,Energy Consumer Price Inflation,1970,5.7
GEO,Georgia,Energy Consumer Price Inflation,1970,
GHA,Ghana,Energy Consumer Price Inflation,1970,
GIN,Guinea,Energy Consumer Price Inflation,1970,
GMB,"Gambia, The",Energy Consumer Price Inflation,1970,
GNB,Guinea-Bissau,Energy Consumer Price Inflation,1970,
GNQ,Equatorial Guinea,Energy Consumer Price Inflation,1970,
GRC,Greece,Energy Consumer Price Inflation,1970,
GRD,Grenada,Energy Consumer Price Inflation,1970,
GTM,Guatemala,Energy Consumer Price Inflation,1970,-1.3
HND,Honduras,Energy Consumer Price Inflation,1970,1.7
HRV,Croatia,Energy Consumer Price Inflation,1970,
HTI,Haiti,Energy Consumer Price Inflation,1970,
HUN,Hungary,Energy Consumer Price Inflation,1970,-1.8
IDN,Indonesia,Energy Consumer Price Inflation,1970,
IND,India,Energy Consumer Price Inflation,1970,4.4
IRL,Ireland,Energy Consumer Price Inflation,1970,9.0
IRN,"Iran, Islamic Rep.",Energy Consumer Price Inflation,1970,-0.6
IRQ,Iraq,Energy Consumer Price Inflation,1970,1.5
ISL,Iceland,Energy Consumer Price Inflation,1970,18.3
ISR,Israel,Energy Consumer Price Inflation,1970,0.0
ITA,Italy,Energy Consumer Price Inflation,1970,7.9
JAM,Jamaica,Energy Consumer Price Inflation,1970,
JOR,Jordan,Energy Consumer Price Inflation,1970,1.6
JPN,Japan,Energy Consumer Price Inflation,1970,2.0
KAZ,Kazakhstan,Energy Consumer Price Inflation,1970,
KEN,Kenya,Energy Consumer Price Inflation,1970,
KGZ,Kyrgyz Republic,Energy Consumer Price Inflation,1970,
KHM,Cambodia,Energy Consumer Price Inflation,1970,
KNA,St. Kitts and Nevis,Energy Consumer Price Inflation,1970,12.1
KOR,"Korea, Rep.",Energy Consumer Price Inflation,1970,8.2
KWT,Kuwait,Energy Consumer Price Inflation,1970,2.0
LAO,Lao PDR,Energy Consumer Price Inflation,1970,
LBN,Lebanon,Energy Consumer Price Inflation,1970,
LBR,Liberia,Energy Consumer Price Inflation,1970,-2.6
LCA,St. Lucia,Energy Consumer Price Inflation,1970,5.2
LKA,Sri Lanka,Energy Consumer Price Inflation,1970,8.9
LSO,Lesotho,Energy Consumer Price Inflation,1970,
LTU,Lithuania,Energy Consumer Price Inflation,1970,
LUX,Luxembourg,Energy Consumer Price Inflation,1970,7.5
LVA,Latvia,Energy Consumer Price Inflation,1970,
MAR,Morocco,Energy Consumer Price Inflation,1970,
MDA,Moldova,Energy Consumer Price Inflation,1970,
MDG,Madagascar,Energy Consumer Price Inflation,1970,6.1
MDV,Maldives,Energy Consumer Price Inflation,1970,
MEX,Mexico,Energy Consumer Price Inflation,1970,
MKD,"Macedonia, FYR",Energy Consumer Price Inflation,1970,
MLI,Mali,Energy Consumer Price Inflation,1970,
MLT,Malta,Energy Consumer Price Inflation,1970,0.0
MMR,Myanmar,Energy Consumer Price Inflation,1970,1.3
MNG,Mongolia,Energy Consumer Price Inflation,1970,
MOZ,Mozambique,Energy Consumer Price Inflation,1970,1.1
MRT,Mauritania,Energy Consumer Price Inflation,1970,-0.8
MUS,Mauritius,Energy Consumer Price Inflation,1970,0.0
MWI,Malawi,Energy Consumer Price Inflation,1970,
MYS,Malaysia,Energy Consumer Price Inflation,1970,
NAM,Namibia,Energy Consumer Price Inflation,1970,
NER,Niger,Energy Consumer Price Inflation,1970,
NGA,Nigeria,Energy Consumer Price Inflation,1970,13.7
NIC,Nicaragua,Energy Consumer Price Inflation,1970,
NLD,Netherlands,Energy Consumer Price Inflation,1970,1.6
NOR,Norway,Energy Consumer Price Inflation,1970,18.5
NPL,Nepal,Energy Consumer Price Inflation,1970,1.1
NZL,New Zealand,Energy Consumer Price Inflation,1970,0.4
OMN,Oman,Energy Consumer Price Inflation,1970,
PAK,Pakistan,Energy Consumer Price Inflation,1970,
PAN,Panama,Energy Consumer Price Inflation,1970,-0.9
PER,Peru,Energy Consumer Price Inflation,1970,25.1
PHL,Philippines,Energy Consumer Price Inflation,1970,7.7
PNG,Papua New Guinea,Energy Consumer Price Inflation,1970,
POL,Poland,Energy Consumer Price Inflation,1970,
PRT,Portugal,Energy Consumer Price Inflation,1970,1.23
PRY,Paraguay,Energy Consumer Price Inflation,1970,
QAT,Qatar,Energy Consumer Price Inflation,1970,
ROU,Romania,Energy Consumer Price Inflation,1970,0.1
RUS,Russian Federation,Energy Consumer Price Inflation,1970,
RWA,Rwanda,Energy Consumer Price Inflation,1970,
SAU,Saudi Arabia,Energy Consumer Price Inflation,1970,
SDN,Sudan,Energy Consumer Price Inflation,1970,
SEN,Senegal,Energy Consumer Price Inflation,1970,0.3
SGP,Singapore,Energy Consumer Price Inflation,1970,1.3
SLE,Sierra Leone,Energy Consumer Price Inflation,1970,1.6
SLV,El Salvador,Energy Consumer Price Inflation,1970,-13.3
STP,São Tomé and Principe,Energy Consumer Price Inflation,1970,
SUR,Suriname,Energy Consumer Price Inflation,1970,
SVK,Slovak Republic,Energy Consumer Price Inflation,1970,
SVN,Slovenia,Energy Consumer Price Inflation,1970,6.2
SWE,Sweden,Energy Consumer Price Inflation,1970,2.0
SWZ,Swaziland,Energy Consumer Price Inflation,1970,
SYC,Seychelles,Energy Consumer Price Inflation,1970,0.0
SYR,Syrian Arab Republic,Energy Consumer Price Inflation,1970,0.4
TCD,Chad,Energy Consumer Price Inflation,1970,1.6
TGO,Togo,Energy Consumer Price Inflation,1970,
THA,Thailand,Energy Consumer Price Inflation,1970,
TJK,Tajikistan,Energy Consumer Price Inflation,1970,
TON,Tonga,Energy Consumer Price Inflation,1970,2.4
TTO,Trinidad and Tobago,Energy Consumer Price Inflation,1970,1.9
TUN,Tunisia,Energy Consumer Price Inflation,1970,
TUR,Turkey,Energy Consumer Price Inflation,1970,10.2
TZA,Tanzania,Energy Consumer Price Inflation,1970,
UGA,Uganda,Energy Consumer Price Inflation,1970,
UKR,Ukraine,Energy Consumer Price Inflation,1970,35.05
URY,Uruguay,Energy Consumer Price Inflation,1970,6.9
USA,United States,Energy Consumer Price Inflation,1970,
VCT,St. Vincent and the Grenadines,Energy Consumer Price Inflation,1970,12.1
VEN,"Venezuela, RB",Energy Consumer Price Inflation,1970,0.0
VGB,British Virgin Islands,Energy Consumer Price Inflation,1970,
VNM,Vietnam,Energy Consumer Price Inflation,1970,
VUT,Vanuatu,Energy Consumer Price Inflation,1970,1.4
WSM,Samoa,Energy Consumer Price Inflation,1970,0.0
ZAF,South Africa,Energy Consumer Price Inflation,1970,
ZMB,Zambia,Energy Consumer Price Inflation,1970,
ZWE,Zimbabwe,Energy Consumer Price Inflation,1970,1.1
VGB,British Virgin Islands,Energy Consumer Price Inflation,1970,
NCL,New Caledonia,Energy Consumer Price Inflation,1970,
ABW,Aruba,Food Consumer Price Inflation,1970,
AFG,Afghanistan,Food Consumer Price Inflation,1970,
AGO,Angola,Food Consumer Price Inflation,1970,
ALB,Albania,Food Consumer Price Inflation,1970,
ARE,United Arab Emirates,Food Consumer Price Inflation,1970,
ARG,Argentina,Food Consumer Price Inflation,1970,16.5
ARM,Armenia,Food Consumer Price Inflation,1970,
ATG,Antigua and Barbuda,Food Consumer Price Inflation,1970,8.0
AUS,Australia,Food Consumer Price Inflation,1970,3.62
AUT,Austria,Food Consumer Price Inflation,1970,4.42
AZE,Azerbaijan,Food Consumer Price Inflation,1970,
BDI,Burundi,Food Consumer Price Inflation,1970,-2.8
BEL,Belgium,Food Consumer Price Inflation,1970,3.5
BEN,Benin,Food Consumer Price Inflation,1970,
BFA,Burkina Faso,Food Consumer Price Inflation,1970,5.4
BGD,Bangladesh,Food Consumer Price Inflation,1970,2.3
BGR,Bulgaria,Food Consumer Price Inflation,1970,-0.3
BHR,Bahrain,Food Consumer Price Inflation,1970,
BHS,"Bahamas, The",Food Consumer Price Inflation,1970,4.7
BIH,Bosnia and Herzegovina,Food Consumer Price Inflation,1970,
BLR,Belarus,Food Consumer Price Inflation,1970,0.2
BLZ,Belize,Food Consumer Price Inflation,1970,
BOL,Bolivia,Food Consumer Price Inflation,1970,4.5
BRA,Brazil,Food Consumer Price Inflation,1970,26.0
BRB,Barbados,Food Consumer Price Inflation,1970,6.5
BRN,Brunei Darussalam,Food Consumer Price Inflation,1970,1.0
BTN,Bhutan,Food Consumer Price Inflation,1970,
BWA,Botswana,Food Consumer Price Inflation,1970,4.9
CAF,Central African Republic,Food Consumer Price Inflation,1970,1.5
CAN,Canada,Food Consumer Price Inflation,1970,1.61
CHE,Switzerland,Food Consumer Price Inflation,1970,2.5
CHL,Chile,Food Consumer Price Inflation,1970,35.4
CHN,China,Food Consumer Price Inflation,1970,
CIV,Côte d'Ivoire,Food Consumer Price Inflation,1970,12.7
CMR,Cameroon,Food Consumer Price Inflation,1970,9.3
COD,"Congo, Dem. Rep.",Food Consumer Price Inflation,1970,10.2
COG,"Congo, Rep.",Food Consumer Price Inflation,1970,0.7
COL,Colombia,Food Consumer Price Inflation,1970,5.9
COM,Comoros,Food Consumer Price Inflation,1970,
CPV,Cabo Verde,Food Consumer Price Inflation,1970,9.5
CRI,Costa Rica,Food Consumer Price Inflation,1970,7.6
CUW,Curacao,Food Consumer Price Inflation,1970,
CYP,Cyprus,Food Consumer Price Inflation,1970,1.3
CZE,Czech Republic,Food Consumer Price Inflation,1970,0.2
DEU,Germany,Food Consumer Price Inflation,1970,2.4
DJI,Djibouti,Food Consumer Price Inflation,1970,2.8
DMA,Dominica,Food Consumer Price Inflation,1970,14.8
DNK,Denmark,Food Consumer Price Inflation,1970,8.5
DOM,Dominican Republic,Food Consumer Price Inflation,1970,5.5
DZA,Algeria,Food Consumer Price Inflation,1970,5.6
ECU,Ecuador,Food Consumer Price Inflation,1970,3.3
EGY,"Egypt, Arab Rep.",Food Consumer Price Inflation,1970,6.8
ESP,Spain,Food Consumer Price Inflation,1970,3.7
EST,Estonia,Food Consumer Price Inflation,1970,
ETH,Ethiopia,Food Consumer Price Inflation,1970,15.3
FIN,Finland,Food Consumer Price Inflation,1970,1.5
FJI,Fiji,Food Consumer Price Inflation,1970,4.2
FRA,France,Food Consumer Price Inflation,1970,6.3
GAB,Gabon,Food Consumer Price Inflation,1970,2.4
GBR,United Kingdom,Food Consumer Price Inflation,1970,6.9
GEO,Georgia,Food Consumer Price Inflation,1970,
GHA,Ghana,Food Consumer Price Inflation,1970,5.0
GIN,Guinea,Food Consumer Price Inflation,1970,
GMB,"Gambia, The",Food Consumer Price Inflation,1970,8.7
GNB,Guinea-Bissau,Food Consumer Price Inflation,1970,
GNQ,Equatorial Guinea,Food Consumer Price Inflation,1970,
GRC,Greece,Food Consumer Price Inflation,1970,7.67
GRD,Grenada,Food Consumer Price Inflation,1970,
GTM,Guatemala,Food Consumer Price Inflation,1970,4.0
GUY,Guyana,Food Consumer Price Inflation,1970,9.94
HKG,Hong Kong SAR,Food Consumer Price Inflation,1970,
HND,Honduras,Food Consumer Price Inflation,1970,5.2
HRV,Croatia,Food Consumer Price Inflation,1970,
HTI,Haiti,Food Consumer Price Inflation,1970,0.4
HUN,Hungary,Food Consumer Price Inflation,1970,1.0
IDN,Indonesia,Food Consumer Price Inflation,1970,9.2
IND,India,Food Consumer Price Inflation,1970,5.9
IRL,Ireland,Food Consumer Price Inflation,1970,7.6
IRN,"Iran, Islamic Rep.",Food Consumer Price Inflation,1970,0.6
IRQ,Iraq,Food Consumer Price Inflation,1970,3.9
ISL,Iceland,Food Consumer Price Inflation,1970,15.9
ISR,Israel,Food Consumer Price Inflation,1970,3.3
ITA,Italy,Food Consumer Price Inflation,1970,4.3
JAM,Jamaica,Food Consumer Price Inflation,1970,6.6
JOR,Jordan,Food Consumer Price Inflation,1970,7.8
JPN,Japan,Food Consumer Price Inflation,1970,6.2
KAZ,Kazakhstan,Food Consumer Price Inflation,1970,
KEN,Kenya,Food Consumer Price Inflation,1970,4.8
KGZ,Kyrgyz Republic,Food Consumer Price Inflation,1970,
